clause,description,applicability,critical_question,option_a,option_b,option_c,option_d,learning_objective,discussion_object,gaps_a,gaps_b,gaps_c,gaps_d
1,Scope,All organizations,What is the scope of FSSC 22000 certification?,FSSC 22000 applies to the entire food supply chain,FSSC 22000 applies only to food manufacturing,FSSC 22000 applies only to food packaging,FSSC 22000 applies only to food retail,Understand the scope of FSSC 22000,Discuss applicability to different sectors,Limited understanding of certification scope,Narrow focus on manufacturing only,Incomplete understanding of packaging requirements,Misunderstanding of retail requirements
2,Normative References,All organizations,Which standard forms the basis for FSSC 22000?,ISO 22000 is the core standard for FSSC 22000,HACCP is the only standard referenced,ISO 9001 is the core standard,BRC is the core standard,Understand normative references,Discuss relationship between standards,Complete understanding of normative structure,Incomplete understanding of standard relationships,Incorrect understanding of core standard,Confusion with other certification schemes
3,Terms and Definitions,All organizations,How are terms defined in FSSC 22000?,Terms are defined according to ISO 22000 and sector-specific PRPs,Terms are defined only by the organization,Terms are defined only by regulatory requirements,Terms are defined only by customer requirements,Understand terminology requirements,Discuss importance of consistent definitions,Proper understanding of terminology sources,Inconsistent application of terminology,Regulatory-focused definitions only,Customer-focused definitions only
4.1,Food Safety Management System,All organizations,What is required for the food safety management system?,The organization shall establish, implement, maintain, update and continually improve a FSMS,The organization shall implement HACCP only,The organization shall focus only on product testing,The organization shall implement only regulatory requirements,Understand FSMS requirements,Discuss systematic approach to food safety,Comprehensive management system approach,Limited focus on hazard analysis only,Reactive approach to food safety,Compliance-only approach
4.2,Documentation Requirements,All organizations,What documentation is required by FSSC 22000?,Documented information required by ISO 22000 and additional FSSC requirements,Only HACCP documentation is required,Only regulatory documentation is required,Only quality records are required,Understand documentation requirements,Discuss effective documentation management,Comprehensive documentation system,Limited documentation scope,Regulatory-focused documentation only,Quality-focused documentation only
5.1,Management Commitment,All organizations,How should top management demonstrate commitment?,Top management shall demonstrate leadership and commitment to the FSMS,Management delegates all food safety responsibilities,Management addresses food safety only during audits,Management focuses only on production targets,Understand management commitment requirements,Discuss leadership behaviors for food safety,Active leadership and commitment,Delegation without oversight,Audit-driven approach to food safety,Production-focused priorities
5.2,Food Safety Policy,All organizations,What are the requirements for food safety policy?,Policy shall be appropriate to purpose with framework for objectives,Policy only states compliance with regulations,Policy focuses exclusively on product quality,Policy is documented but not communicated,Understand policy requirements,Discuss how policy supports food safety,Comprehensive policy aligned with purpose,Compliance-focused policy only,Quality-focused policy only,Documented but ineffective policy
5.3,Organizational Roles,All organizations,How should food safety responsibilities be assigned?,Responsibilities and authorities shall be assigned, communicated and understood,Responsibilities are assigned only to quality department,Responsibilities are defined only during audits,Responsibilities are not formally assigned,Understand responsibility assignment requirements,Discuss effective responsibility allocation,Clear assignment and communication of roles,Isolated responsibility assignment,Audit-driven responsibility definition,Undefined responsibilities
6.1,Actions to Address Risks,All organizations,How should the organization address risks and opportunities?,The organization shall determine and address risks and opportunities that affect the FSMS,The organization focuses only on product risks,Risk assessment is performed only during audits,The organization has no formal risk assessment process,Understand risk management requirements,Discuss effective risk assessment methods,Comprehensive risk management approach,Product-focused risk assessment only,Audit-driven risk assessment,No systematic risk approach
6.2,Food Safety Objectives,All organizations,How should food safety objectives be established?,Objectives shall be established at relevant functions and levels,Objectives are established only at corporate level,Objectives focus exclusively on compliance,The organization has not established formal objectives,Understand objective-setting requirements,Discuss effective objective management,Comprehensive objectives at all levels,Limited scope of objectives,Compliance-focused objectives only,No formal objectives
6.3,Planning of Changes,All organizations,How should changes to the FSMS be managed?,Changes shall be planned considering purpose, consequences, resources and responsibilities,Changes are implemented without formal planning,Changes are planned only for major system revisions,The organization makes changes reactively,Understand change management requirements,Discuss effective change planning,Systematic change management approach,Unplanned implementation of changes,Limited planning for major changes only,Reactive approach to changes
7.1,Resources,All organizations,What must be considered for resources?,The organization shall determine and provide necessary resources for the FSMS,Resources are provided only for production,Resources are provided only during audit preparation,Resources are provided only when problems arise,Understand resource management requirements,Discuss resource planning strategies,Comprehensive resource planning,Production-focused resource allocation,Audit-driven resource allocation,Reactive resource allocation
7.2,Competence,All organizations,How should personnel competence be managed?,The organization shall determine necessary competence and ensure personnel are competent,Competence is determined only for technical positions,Training is provided only for regulatory compliance,Training is provided only when problems arise,Understand competence requirements,Discuss effective competence management,Comprehensive competence management,Limited scope of competence management,Compliance-driven training only,Reactive approach to training
7.3,Awareness,All organizations,How should food safety awareness be ensured?,Personnel shall be aware of policy, objectives, contribution and implications,Personnel are informed only about their specific tasks,Awareness is promoted only during audit preparation,The organization does not promote food safety awareness,Understand awareness requirements,Discuss methods for promoting awareness,Comprehensive awareness program,Task-focused awareness only,Audit-driven awareness activities,No systematic awareness program
7.4,Communication,All organizations,What communication is required by FSSC 22000?,The organization shall determine internal and external communications relevant to the FSMS,Communication is determined only for customer interactions,Communication occurs only during audit preparation,The organization has no formal communication process,Understand communication requirements,Discuss effective communication strategies,Comprehensive communication system,Customer-focused communication only,Audit-driven communication,No systematic communication process
7.5,Documented Information,All organizations,How should documented information be controlled?,Documents shall be controlled for availability, protection, distribution, storage and disposition,Documents are controlled only for critical processes,Documents are updated only during audit preparation,The organization has minimal document controls,Understand document control requirements,Discuss effective document management,Comprehensive document control system,Limited scope of document control,Audit-driven document management,Minimal document control
8.1,Operational Planning,All organizations,What is required for operational planning?,The organization shall plan, implement and control processes needed to meet requirements,Planning is done only for production processes,Planning focuses exclusively on food safety hazards,Planning is done only during audit preparation,Understand operational planning requirements,Discuss effective planning methods,Comprehensive process planning,Production-focused planning only,Hazard-focused planning only,Audit-driven planning
