clause,description,applicability,critical_question,option_a,option_b,option_c,option_d,learning_objective,discussion_object,gaps_a,gaps_b,gaps_c,gaps_d
4.1,Understanding the organization and its context,All organizations,How should an organization determine external and internal issues relevant to its FSMS?,The organization shall determine external and internal issues relevant to its purpose and affecting its ability to achieve the intended results of its FSMS,The organization focuses only on internal production issues,The organization addresses issues only during management reviews,The organization has no formal process for determining context,Understand context determination requirements,Discuss effective context analysis methods,Comprehensive context analysis,Limited internal focus only,Reactive context analysis,No systematic context analysis
4.2,Understanding the needs and expectations of interested parties,All organizations,How should an organization determine requirements of interested parties?,The organization shall determine requirements of interested parties that are relevant to the FSMS,The organization considers only customer requirements,The organization addresses requirements only during audits,The organization has no formal process for determining requirements,Understand interested party requirements,Discuss effective stakeholder analysis methods,Comprehensive stakeholder analysis,Customer-focused analysis only,Audit-driven analysis,No systematic stakeholder analysis
4.3,Determining the scope of the food safety management system,All organizations,How should the scope of the FSMS be determined?,The organization shall determine the boundaries and applicability of the FSMS to establish its scope,The scope is limited to production areas only,The scope is determined only for certification purposes,The organization has not formally defined the scope,Understand scope determination requirements,Discuss effective scope definition methods,Comprehensive scope definition,Limited production focus only,Certification-driven scope,Undefined scope
4.4,Food safety management system,All organizations,What is required for the food safety management system?,The organization shall establish, implement, maintain, update and continually improve a FSMS,The organization implements HACCP only,The organization focuses only on product testing,The organization implements only regulatory requirements,Understand FSMS requirements,Discuss systematic approach to food safety,Comprehensive management system approach,Limited focus on hazard analysis only,Reactive approach to food safety,Compliance-only approach
5.1,Leadership and commitment,All organizations,How should top management demonstrate leadership and commitment?,Top management shall demonstrate leadership and commitment with respect to the FSMS,Management delegates all food safety responsibilities,Management addresses food safety only during audits,Management focuses only on production targets,Understand leadership requirements,Discuss leadership behaviors for food safety,Active leadership and commitment,Delegation without oversight,Audit-driven approach to food safety,Production-focused priorities
5.2,Policy,All organizations,What are the requirements for food safety policy?,Top management shall establish, implement and maintain a food safety policy,Policy only states compliance with regulations,Policy focuses exclusively on product quality,Policy is documented but not communicated,Understand policy requirements,Discuss how policy supports food safety,Comprehensive policy aligned with purpose,Compliance-focused policy only,Quality-focused policy only,Documented but ineffective policy
5.3,Organizational roles responsibilities and authorities,All organizations,How should food safety responsibilities be assigned?,Top management shall ensure responsibilities and authorities are assigned and communicated,Responsibilities are assigned only to quality department,Responsibilities are defined only during audits,Responsibilities are not formally assigned,Understand responsibility assignment requirements,Discuss effective responsibility allocation,Clear assignment and communication of roles,Isolated responsibility assignment,Audit-driven responsibility definition,Undefined responsibilities
6.1,Actions to address risks and opportunities,All organizations,How should the organization address risks and opportunities?,The organization shall determine and address risks and opportunities that affect the FSMS,The organization focuses only on product risks,Risk assessment is performed only during audits,The organization has no formal risk assessment process,Understand risk management requirements,Discuss effective risk assessment methods,Comprehensive risk management approach,Product-focused risk assessment only,Audit-driven risk assessment,No systematic risk approach
6.2,Objectives of the food safety management system and planning to achieve them,All organizations,How should food safety objectives be established?,The organization shall establish objectives at relevant functions and levels,Objectives are established only at corporate level,Objectives focus exclusively on compliance,The organization has not established formal objectives,Understand objective-setting requirements,Discuss effective objective management,Comprehensive objectives at all levels,Limited scope of objectives,Compliance-focused objectives only,No formal objectives
6.3,Planning of changes,All organizations,How should changes to the FSMS be managed?,The organization shall plan changes to the FSMS considering purpose and consequences,Changes are implemented without formal planning,Changes are planned only for major system revisions,The organization makes changes reactively,Understand change management requirements,Discuss effective change planning,Systematic change management approach,Unplanned implementation of changes,Limited planning for major changes only,Reactive approach to changes
7.1,Resources,All organizations,What must be considered for resources?,The organization shall determine and provide necessary resources for the FSMS,Resources are provided only for production,Resources are provided only during audit preparation,Resources are provided only when problems arise,Understand resource management requirements,Discuss resource planning strategies,Comprehensive resource planning,Production-focused resource allocation,Audit-driven resource allocation,Reactive resource allocation
7.2,Competence,All organizations,How should personnel competence be managed?,The organization shall determine necessary competence and ensure personnel are competent,Competence is determined only for technical positions,Training is provided only for regulatory compliance,Training is provided only when problems arise,Understand competence requirements,Discuss effective competence management,Comprehensive competence management,Limited scope of competence management,Compliance-driven training only,Reactive approach to training
7.3,Awareness,All organizations,How should food safety awareness be ensured?,Relevant persons shall be aware of policy, objectives, contribution and implications,Personnel are informed only about their specific tasks,Awareness is promoted only during audit preparation,The organization does not promote food safety awareness,Understand awareness requirements,Discuss methods for promoting awareness,Comprehensive awareness program,Task-focused awareness only,Audit-driven awareness activities,No systematic awareness program
7.4,Communication,All organizations,What communication is required by ISO 22000:2018?,The organization shall determine internal and external communications relevant to the FSMS,Communication is determined only for customer interactions,Communication occurs only during audit preparation,The organization has no formal communication process,Understand communication requirements,Discuss effective communication strategies,Comprehensive communication system,Customer-focused communication only,Audit-driven communication,No systematic communication process
