comprehensive_iso_27001_controls_assessment_table.csv,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
clause,description,applicability,critical_question,format_required,format_no,option_a,option_b,option_c,option_d,learning_objective for workshop,Object for Discussion  for workshop,lEARNING OBJECTIVE FOR SELF PACED COURSE,Object for discussion for a Self pacced course,gaps_a,gaps_b,gaps_c,gaps_d,,,
4.1,Understanding the organization and its context - The organization shall determine external and internal issues that are relevant to its purpose and that affect its ability to achieve the intended outcome(s) of its ISMS,YES,Has the organization identified and documented the list of external and internal issues?,Format,ISMS-F1,My organization is aware of the internal and external issues but not documented them,My organization has documented all possible internal and external issues in one format with the help of a brain storming session,The enlisted internal and external issues are linked to ISO 27002 controls and also our internal process related to them and are reviewed on a yearly basis,"Internal and external issues are identified, enlisted and linked to ISO 27002 controls and also graded with regards to their ability to influence our organization success and this grading is then linked to the risk analysis elements",LO 1: The candidate should be able to make an assessment of what is an internal issue and what is an external issue,A cases study  to identify Internal and external issue ,candidate should be able to  differentiate between a internal and external issue  ,"list of issues
Review a sample documented context of organization and internal/external issues, evaluate linkages to risk assessment and suggest enhancements for completeness and strategic alignment.",GAPS: What the organization needs to do in order to move to maturity 4,GAPS: What the organization needs to do in order to move to maturity 4,GAPS: What the organization needs to do in order to move to maturity 4,GAPS: What the organization needs to do in order to move to maturity 4,,,
4.2,"Understanding the needs and expectations of interested parties - The organization shall determine: a) interested parties that are relevant to the ISMS, b) the relevant requirements of these interested parties",YES,Has the organization identified the list of Interested parties?,Format AND (Optional) procedure for Stakeholder consultation and engagement,ISMS-F2,"My organization has identified most important interested parties which are three like employees, customers and suppliers - and we have captured their requirements","My organization has identified all legal and government stakeholders in addition to suppliers, customers and employees and have identified their contact person and documented their key requirements in a list","We have identified level 2 suppliers and customers in addition to government, legal and employee stakeholders, we have documented separately for each stakeholder their requirements and also have identified how we are able to meet these requirements. We have also identified risk arising out of this exercise and included these risk in our formal risk assessment",Our organization has a process for identifying all possible stakeholders and categorises them for importance. We review this list at least once in a year. There is a stakeholder engagement process with clearly accountable people who have responsibilities to identify explicit and implicit requirements. These requirements serve as input in making revisions to our ISMS policy and IS objectives,LO 2: The candidate should be able to make an assessment of what improvements can be made in identified internal and external issues to make them useful,A partial list of internal and external issues of a case study organization,candidate should bea be able to identify what internal and external issues are missing ,a list of internanl and external issues  of a case study organization,GAPS: What the organization needs to do in order to move to maturity 4,GAPS: What the organization needs to do in order to move to maturity 4,GAPS: What the organization needs to do in order to move to maturity 4,GAPS: What the organization needs to do in order to move to maturity 4,,,
4.3,Determining the scope of the ISMS - The organization shall determine the boundaries and applicability of the ISMS to establish its scope,YES,Has the organization established the scope of the ISMS?,Format,ISMS-F3,The organization has reduced the scope to limited set of activities because of any reason and does not covers all activities which may have additional risks ,We have a documented scope document which is part of our IS policy document. It identifies the building that we occupy and the software that we use  and all key activities we do to service our client,The scope document covers all activities  and links to  external and internal issues and interested parties requirements identified by the organization,The scope is linked to organizational activities and interfaces with other activities performed by interested parties including vendors,LO 3: The candidate should be able to determine appropriate ISMS scope boundaries,A sample  scope document  of a  fictitious company,,,Document comprehensive scope covering all relevant aspects,Link scope to stakeholder requirements and internal/external issues,Integrate scope with organizational processes and vendor relationships,Establish regular scope review and alignment with strategic objectives,,,
4.4,"Information Security Management System - The organization shall establish, implement, maintain and continually improve an ISMS",YES,Has the organization established an ISMS with defined processes and interactions?,Procedure,ISMS-P1,"Basic ISMS structure exists with minimal documentation, Processes are identified and  listed ",ALL  key processes identified and listed as a flow chart,"ISMS processes are listed as core and non core and high level and subprocesses are also identified ,integrated and regularly reviewed","ISMS is fully integrated with business processes, continuously improved, and strategically aligned, Core and non core processes and subprocesses are mapped for responsibility and interafaces, whether they are linked to internal or external issue or any interested parties requirments ",LO 4: Candidate should be able to create a list of processes and sub processes and organize interface ,,,,Establish comprehensive ISMS documentation,Define and document all ISMS processes,Integrate ISMS with business processes,Implement continuous improvement mechanisms,,,
5.1,Leadership and commitment - Top management shall demonstrate leadership and commitment with respect to the ISMS,YES,Has the organization made an ISMS policy and IS objectives which are compatible with the direction of the organization?,Policy document,ISMS-POL1,Organization has basic awareness of leadership requirements but limited documentation,Top management has documented commitment and established basic ISMS policy,Leadership commitment is integrated into business processes with regular communication and IS objectives which are coming out of the IS policy are reviewed for achievement  Top managment asks the key members for inputs to change the policy and to makeit more clear and understandable for action expected out from each employee,"Leadership demonstrates continuous commitment through measurable actions, resource allocation, and strategic integration , and at every moment of internal address highlights the Policy  and what it means in the current context. It also reviews the IS objectives for achievement in the review meetings and encorages to refine these objectives by more engaegement.",LO 5: Candidate should be able to create a sample policy and describe means of effective communication ,,,,Document leadership commitment and establish ISMS policy,Integrate ISMS requirements into organizational processes,Establish regular leadership communication and monitoring,Implement continuous improvement culture driven by leadership,,,
5.2,Information security policy - Top management shall establish an information security policy,YES,What are the various mechanisms adopted by the organization to communicate the IS policy within the organization?,Policy document,ISMS-POL2,Basic information security policy exists with minimal communication,Policy is  well defined and  documented covering several key aspects of ISMS and IS controls which the top management is committed to  and communicated through standard channels,"Policy is  having all implemented controls which the organization wants stake holders to know regularly reviewed,  and aspects of ISMS which the top managment wants to focus upon . It is updated, and communicated through multiple channels","Policy is  having all implemented controls which the organization wants stake holders to know regularly reviewed,  and aspects of ISMS which the top managment wants to focus upon . It is updated, and communicated through multiple channels. Policy is fully integrated with business objectives, regularly assessed for effectiveness, and continuously improved. Policies communication is integrated with the induction program and its understanding is assessed throughout the organizations and its key supply chain ",LO 6: The  candidate should be able to assess whether the Policy is well defined and whether it is servicing the strategic purpose of the organzation and the requirements of ISO 27001:2022,,,,Develop comprehensive information security policy,Establish formal communication mechanisms,Implement regular policy review and update processes,Integrate policy with strategic objectives and measure effectiveness,,,
5.3,"Organizational roles, responsibilities and authorities - Top management shall ensure responsibilities and authorities for information security roles are assigned and communicated",YES,Has the organization appointed someone with sufficient authority and competence to ensure that the ISMS is maintained and report performance to top management?,Role definition document,ISMS-ROLE1,Basic roles identified but not formally documented or communicated,Roles and responsibilities documented and assigned to specific individuals,Roles are integrated into job descriptions and a section for ISMS specific responsibility  with regular performance monitoring,"Comprehensive role framework with clear accountability for ISMS specific processes (4.4)and IS controls(ISO 27002) , performance metrics against , and continuous competency development. Responisbility for monitoring and execution of IS control and processes is segregated ",LO 7: Candidate should be able to add IS aspect to a role  and responsibility ,"A Job standard job description of    couple of roles like System admin , Application Developer, Application tester, Compliance head ",,,Define and document all information security roles,Assign roles to competent individuals with appropriate authority,Integrate roles into performance management systems,Establish continuous competency development and accountability measures,,,
6.1.1,Actions to address risks and opportunities - General planning requirements,YES,Has a risk assessment been done by the organization?,Procedure,ISMS-RISK1,Basic understanding of risks exists but no formal assessment conducted,"Risk assessment has been conducted thoroughly for all physical servers ,buildings and applications and database with documented results","Risk assessment is comprehensive and includes thoroughly for all physical servers ,buildings and applications and database, INformation and people assets  with clearly defined scale of reverity and probability . It identified existing controls applied to minimize the risks and also declares the residual risks . It is   regularly updated and linked to business processes","Comprehensive risk management framework with continuous improvement of risk assessment methodology to come as close to reality with clearly defined scales  or probability and severity- with evolving use of  factors affecting probability of occerance ( threat exposure time, ability to detect a threat early)  and also severity( Busines sand legal impact and ability to recreate the asset) . monitoring, treatment tracking with defined procedures and decision making in place , and business alignment  with IS objectives and business strategies  coming out risk analysis ",LO 8: The candidate  should be able to conduct a Understanding risk assessment requirements and methodologies,A half completed risk assessment  template for a organization ,,,Conduct formal risk assessment using structured methodology,Establish regular risk review and update processes,Integrate risk management with business planning,Implement continuous risk monitoring and strategic alignment,,,
6.1.2,Information security risk assessment - Define and apply risk assessment process,YES,Has the organization made a procedure for risk assessment?,Procedure,ISMS-RISK2,Basic risk identification without formal procedure or criteria,Risk assessment procedure documented with basic criteria defined and tools and techniques defined ,Comprehensive risk assessment procedure with consistent applicationof tools and techniques with examples  and regular reviews . It also has a well defined training program to teach  and assess the team on risk assessment techniques ,"The procedure for risk assessment and alos risk assessment is defined with responsibility of the trained team members to conduct initial and review risk analysis . The threshold Residual risk is also defined . Training rogram for risk analysis initial and refresher courses are done time to time with assessment eyeing more inputs into risk assessment, The preventive control assessment mechanism are also defined in the procedure ",LO 9: The candidate should be able to make a fairly  detailed Understanding detailed risk assessment procedure requirements,Improve a partially made risk assessment procedure ,,,Develop formal risk assessment procedure with acceptance criteria,Implement consistent risk assessment methodology,Establish regular risk assessment reviews and updates,Integrate advanced risk analysis techniques and continuous improvement,,,
6.1.3,Information security risk treatment - Define and apply risk treatment process,YES,Has the organization developed a risk treatment plan with appropriate controls?,Plan and Statement of Applicability,ISMS-TREAT1,Basic understanding of risk treatment options without formal planning,Risk treatment plan developed with selected controls documented,Comprehensive risk treatment plan with implemented controls and regular monitoring,"Advanced risk treatment framework with continuous optimization, effectiveness measurement, and strategic alignment",LO 10: Understanding risk treatment planning and control selection,,,,Develop formal risk treatment plan and Statement of Applicability,Implement selected controls and establish monitoring processes,Establish regular effectiveness reviews and plan updates,Implement continuous optimization and strategic risk treatment alignment,,,
